Entry	yourlist:M20180311A7434721E10EE6586998A056CCD0537E49A32AY	Entry name	Gene ontology IDs	Status	Protein names	Gene names	Organism	Length	isomap:M20180311A7434721E10EE6586998A056CCD0537E49A32AY	yourlist:M201803118A530B6CA0138AFAA6D2B97CE8C2A9240BFF3DO	Annotation
E6ZGR1	FQ310507	E6ZGR1_DICLA		unreviewed	Protein FAM20A	FAM20A DLA_Ib00870	Dicentrarchus labrax (European seabass) (Morone labrax)	534		FQ310507	1 out of 5
E6ZGR2	FQ310507	E6ZGR2_DICLA		unreviewed	WD repeat-containing protein 49	WDR49 DLA_Ib00880	Dicentrarchus labrax (European seabass) (Morone labrax)	486		FQ310507	1 out of 5
E6ZGR3	FQ310507	E6ZGR3_DICLA	GO:0016021	unreviewed	Myoferlin	MYOF DLA_Ib00890	Dicentrarchus labrax (European seabass) (Morone labrax)	1928		FQ310507	1 out of 5
E6ZGR4	FQ310507	E6ZGR4_DICLA	GO:0003676; GO:0004813; GO:0005524; GO:0006419	unreviewed	Alanyl-tRNA synthetase domain-containing protein 1	AARSD1 DLA_Ib00900	Dicentrarchus labrax (European seabass) (Morone labrax)	525		FQ310507	1 out of 5
E6ZGR5	FQ310507	E6ZGR5_DICLA	GO:0003700; GO:0004402; GO:0005634; GO:0008270	unreviewed	Histone acetyltransferase (EC 2.3.1.48)	MYST2 DLA_Ib00910	Dicentrarchus labrax (European seabass) (Morone labrax)	547		FQ310507	2 out of 5
E6ZGR6	FQ310507	E6ZGR6_DICLA	GO:0005634; GO:0006355; GO:0043565	unreviewed	Homeobox protein Dlx4b	DLX4B DLA_Ib00920	Dicentrarchus labrax (European seabass) (Morone labrax)	256		FQ310507	1 out of 5
E6ZGR7	FQ310507	E6ZGR7_DICLA	GO:0005634; GO:0006355; GO:0043565	unreviewed	Homeobox protein Dlx3b	DLX3B DLA_Ib00930	Dicentrarchus labrax (European seabass) (Morone labrax)	280		FQ310507	1 out of 5
E6ZGR8	FQ310507	E6ZGR8_DICLA	GO:0007155; GO:0007229; GO:0008305	unreviewed	Integrin alpha-3	ITGA3 DLA_Ib00940	Dicentrarchus labrax (European seabass) (Morone labrax)	1079		FQ310507	2 out of 5
E6ZGR9	FQ310507	E6ZGR9_DICLA	GO:0004180; GO:0008237; GO:0008241; GO:0016020; GO:0046872	unreviewed	Angiotensin-converting enzyme (EC 3.4.-.-)	ACE DLA_Ib00950	Dicentrarchus labrax (European seabass) (Morone labrax)	1290		FQ310507	2 out of 5
E6ZGS0	FQ310507	E6ZGS0_DICLA		unreviewed	Abl interactor 1	ABI1 DLA_Ib00960	Dicentrarchus labrax (European seabass) (Morone labrax)	336		FQ310507	1 out of 5
E6ZGS1	FQ310507	E6ZGS1_DICLA	GO:0016021	unreviewed	Uncharacterized protein	DLA_Ib00970	Dicentrarchus labrax (European seabass) (Morone labrax)	114		FQ310507	1 out of 5
E6ZGS2	FQ310507	E6ZGS2_DICLA		unreviewed	MAGUK p55 subfamily member 2	MPP2 DLA_Ib00990	Dicentrarchus labrax (European seabass) (Morone labrax)	536		FQ310507	1 out of 5
E6ZGS3	FQ310507	E6ZGS3_DICLA		unreviewed	MAGUK p55 subfamily member 2	MPP2 DLA_Ib00980	Dicentrarchus labrax (European seabass) (Morone labrax)	569		FQ310507	1 out of 5
E6ZGS4	FQ310507	E6ZGS4_DICLA	GO:0003730; GO:0005634; GO:0006378; GO:0050265	unreviewed	U6 snRNA-specific terminal uridylyltransferase 1	TUT1 DLA_Ib01000	Dicentrarchus labrax (European seabass) (Morone labrax)	801		FQ310507	1 out of 5
E6ZGS5	FQ310507	E6ZGS5_DICLA		unreviewed	Mki67 protein	MKI67 DLA_Ib01010	Dicentrarchus labrax (European seabass) (Morone labrax)	980		FQ310507	1 out of 5
E6ZGS6	FQ310507	E6ZGS6_DICLA	GO:0003677; GO:0003707; GO:0003708; GO:0005634; GO:0006351	unreviewed	Retinoic acid receptor alpha	RARA DLA_Ib01020	Dicentrarchus labrax (European seabass) (Morone labrax)	316		FQ310507	1 out of 5
E6ZGS7	FQ310507	E6ZGS7_DICLA	GO:0003677; GO:0003918; GO:0005524; GO:0006265	unreviewed	DNA topoisomerase 2 (EC 5.99.1.3) (Fragment)	TOP2A DLA_Ib01030	Dicentrarchus labrax (European seabass) (Morone labrax)	968		FQ310507	2 out of 5
E6ZGS8	FQ310507	E6ZGS8_DICLA	GO:0016021	unreviewed	Leucine-rich repeat-containing protein 3B	LRRC3B DLA_Ib01040	Dicentrarchus labrax (European seabass) (Morone labrax)	264		FQ310507	1 out of 5
E6ZGS9	FQ310507	E6ZGS9_DICLA		unreviewed	Mediator of RNA polymerase II transcription subunit 24	MED24 DLA_Ib01050	Dicentrarchus labrax (European seabass) (Morone labrax)	987		FQ310507	1 out of 5
E6ZGT0	FQ310507	E6ZGT0_DICLA	GO:0005242; GO:0016021; GO:0034765	unreviewed	ATP-sensitive inward rectifier potassium channel 12	KCNJ12 DLA_Ib01060	Dicentrarchus labrax (European seabass) (Morone labrax)	433		FQ310507	1 out of 5
E6ZGT1	FQ310507	E6ZGT1_DICLA		unreviewed	LYR motif containing 1	LYRM1 DLA_Ib01070	Dicentrarchus labrax (European seabass) (Morone labrax)	121		FQ310507	1 out of 5
E6ZGT2	FQ310507	E6ZGT2_DICLA		unreviewed	DCN1-like protein (Defective in cullin neddylation protein 1-like protein)	DCUN1D3 DLA_Ib01080	Dicentrarchus labrax (European seabass) (Morone labrax)	328		FQ310507	1 out of 5
E6ZGT3	FQ310507	E6ZGT3_DICLA		unreviewed	Uncharacterized protein	DLA_Ib01090	Dicentrarchus labrax (European seabass) (Morone labrax)	1610		FQ310507	1 out of 5
E6ZGT4	FQ310507	E6ZGT4_DICLA	GO:0005739	unreviewed	Cytochrome c oxidase subunit	CX6B1 DLA_Ib01100	Dicentrarchus labrax (European seabass) (Morone labrax)	86		FQ310507	1 out of 5
E6ZGT5	FQ310507	E6ZGT5_DICLA	GO:0016021	unreviewed	Protein ITFG3	ITFG3 DLA_Ib01110	Dicentrarchus labrax (European seabass) (Morone labrax)	547		FQ310507	1 out of 5
E6ZGT6	FQ310507	E6ZGT6_DICLA	GO:0003729; GO:0005685; GO:0006376	unreviewed	Putative RNA-binding protein Luc7-like 1	LUC7L DLA_Ib01130	Dicentrarchus labrax (European seabass) (Morone labrax)	362		FQ310507	1 out of 5
E6ZGT7	FQ310507	E6ZGT7_DICLA	GO:0003729; GO:0005685; GO:0006376	unreviewed	Putative RNA-binding protein Luc7-like 1	LUC7L DLA_Ib01120	Dicentrarchus labrax (European seabass) (Morone labrax)	345		FQ310507	1 out of 5
E6ZGT8	FQ310507	E6ZGT8_DICLA	GO:0016301	unreviewed	Epidermal growth factor receptor kinase substrate 8-like protein 1	EPS8L1 DLA_Ib01140	Dicentrarchus labrax (European seabass) (Morone labrax)	689		FQ310507	1 out of 5
E6ZGT9	FQ310507	E6ZGT9_DICLA	GO:0005328; GO:0016021	unreviewed	Transporter	SLC6A15 DLA_Ib01150	Dicentrarchus labrax (European seabass) (Morone labrax)	664		FQ310507	1 out of 5
E6ZGU0	FQ310507	E6ZGU0_DICLA	GO:0016021	unreviewed	Uncharacterized protein	DLA_Ib01160	Dicentrarchus labrax (European seabass) (Morone labrax)	189		FQ310507	1 out of 5
E6ZGU1	FQ310507	E6ZGU1_DICLA	GO:0016021; GO:0055085	unreviewed	Vesicular glutamate transporter 1	SLC17A7 DLA_Ib01170	Dicentrarchus labrax (European seabass) (Morone labrax)	579		FQ310507	1 out of 5
E6ZGU2	FQ310507	E6ZGU2_DICLA		unreviewed	Uncharacterized protein	DLA_Ib01180	Dicentrarchus labrax (European seabass) (Morone labrax)	224		FQ310507	1 out of 5
E6ZGU3	FQ310507	E6ZGU3_DICLA		unreviewed	SH3 and multiple ankyrin repeat domains protein 1 (Fragment)	SHANK1 DLA_Ib01190	Dicentrarchus labrax (European seabass) (Morone labrax)	2176		FQ310507	1 out of 5
E6ZGU4	FQ310507	E6ZGU4_DICLA	GO:0016301	unreviewed	Protein kinase C and casein kinase substrate in neurons protein 3	PACSIN3 DLA_Ib01200	Dicentrarchus labrax (European seabass) (Morone labrax)	403		FQ310507	1 out of 5
E6ZGU5	FQ310507	E6ZGU5_DICLA		unreviewed	Uncharacterized protein	DLA_Ib01210	Dicentrarchus labrax (European seabass) (Morone labrax)	170		FQ310507	1 out of 5
E6ZGU6	FQ310507	E6ZGU6_DICLA	GO:0016021	unreviewed	Gap junction beta-2 protein	GJB2 DLA_Ib01220	Dicentrarchus labrax (European seabass) (Morone labrax)	236		FQ310507	1 out of 5
E6ZGU7	FQ310507	E6ZGU7_DICLA	GO:0003676	unreviewed	Zinc finger protein 668	ZNF668 DLA_Ib01230	Dicentrarchus labrax (European seabass) (Morone labrax)	663		FQ310507	1 out of 5
E6ZGU8	FQ310507	E6ZGU8_DICLA	GO:0003676	unreviewed	Zinc finger protein 729	ZNF729 DLA_Ib01240	Dicentrarchus labrax (European seabass) (Morone labrax)	1524		FQ310507	1 out of 5
E6ZGU9	FQ310507	E6ZGU9_DICLA	GO:0004842; GO:0010390; GO:0016874; GO:0046872	unreviewed	E3 ubiquitin-protein ligase BRE1A	RNF20 DLA_Ib01260	Dicentrarchus labrax (European seabass) (Morone labrax)	938		FQ310507	1 out of 5
E6ZGV0	FQ310507	E6ZGV0_DICLA	GO:0004842; GO:0010390; GO:0016874; GO:0046872	unreviewed	E3 ubiquitin-protein ligase BRE1A	RNF20 DLA_Ib01280	Dicentrarchus labrax (European seabass) (Morone labrax)	992		FQ310507	1 out of 5
E6ZGV1	FQ310507	E6ZGV1_DICLA	GO:0004842; GO:0010390; GO:0016874; GO:0046872	unreviewed	E3 ubiquitin-protein ligase BRE1A	RNF20 DLA_Ib01250	Dicentrarchus labrax (European seabass) (Morone labrax)	985		FQ310507	1 out of 5
E6ZGV2	FQ310507	E6ZGV2_DICLA	GO:0004842; GO:0010390; GO:0016874; GO:0046872	unreviewed	E3 ubiquitin-protein ligase BRE1A	RNF20 DLA_Ib01270	Dicentrarchus labrax (European seabass) (Morone labrax)	1015		FQ310507	1 out of 5
E6ZGV3	FQ310507	E6ZGV3_DICLA	GO:0004689; GO:0005516; GO:0005524; GO:0005964; GO:0005978	unreviewed	'Phosphorylase b kinase gamma catalytic chain, testis/liver isoform '	PHKG2 DLA_Ib01290	Dicentrarchus labrax (European seabass) (Morone labrax)	390		FQ310507	1 out of 5
E6ZGV4	FQ310507	E6ZGV4_DICLA		unreviewed	Coiled-coil domain-containing protein C16orf93 homolog	GM166 DLA_Ib01300	Dicentrarchus labrax (European seabass) (Morone labrax)	196		FQ310507	1 out of 5
E6ZGV5	FQ310507	E6ZGV5_DICLA		unreviewed	Tubby protein homolog	TUB DLA_Ib01320	Dicentrarchus labrax (European seabass) (Morone labrax)	475		FQ310507	1 out of 5
E6ZGV6	FQ310507	E6ZGV6_DICLA		unreviewed	Tubby-related protein 3	TULP3 DLA_Ib01310	Dicentrarchus labrax (European seabass) (Morone labrax)	462		FQ310507	1 out of 5
E6ZGV7	FQ310507	E6ZGV7_DICLA		unreviewed	Interleukin-21 receptor (Fragment)	IL21R DLA_Ib01330	Dicentrarchus labrax (European seabass) (Morone labrax)	420		FQ310507	1 out of 5
E6ZGV8	FQ310507	E6ZGV8_DICLA	GO:0005524; GO:0019789	unreviewed	SUMO-conjugating enzyme UBC9	UBE2I DLA_Ib01340	Dicentrarchus labrax (European seabass) (Morone labrax)	158		FQ310507	1 out of 5
E6ZGV9	FQ310507	E6ZGV9_DICLA	GO:0051260	unreviewed	BTB/POZ domain-containing protein KCTD5	KCTD5 DLA_Ib01350	Dicentrarchus labrax (European seabass) (Morone labrax)	218		FQ310507	1 out of 5
E6ZGW0	FQ310507	E6ZGW0_DICLA		unreviewed	Uncharacterized protein	DLA_Ib01360	Dicentrarchus labrax (European seabass) (Morone labrax)	51		FQ310507	1 out of 5
E6ZGW1	FQ310507	E6ZGW1_DICLA	GO:0004672; GO:0005524	unreviewed	3-phosphoinositide-dependent protein kinase 1	PDPK1 DLA_Ib01370	Dicentrarchus labrax (European seabass) (Morone labrax)	564		FQ310507	1 out of 5
E6ZGW2	FQ310507	E6ZGW2_DICLA	GO:0006364	unreviewed	Probable ribosome biogenesis protein DLA_Ib01380	DLA_Ib01380	Dicentrarchus labrax (European seabass) (Morone labrax)	307		FQ310507	1 out of 5
E6ZGW3	FQ310507	E6ZGW3_DICLA	GO:0016740	unreviewed	N-acetylglucosamine-1-phosphotransferase subunit gamma	GNPTG DLA_Ib01390	Dicentrarchus labrax (European seabass) (Morone labrax)	273		FQ310507	1 out of 5
E6ZGW4	FQ310507	E6ZGW4_DICLA		unreviewed	Uncharacterized protein	DLA_Ib01410	Dicentrarchus labrax (European seabass) (Morone labrax)	233		FQ310507	1 out of 5
E6ZGW5	FQ310507	E6ZGW5_DICLA		unreviewed	Uncharacterized protein	DLA_Ib01400	Dicentrarchus labrax (European seabass) (Morone labrax)	195		FQ310507	1 out of 5
E6ZGW6	FQ310507	E6ZGW6_DICLA	GO:0004930; GO:0016021	unreviewed	G-protein coupled estrogen receptor 1	GPER DLA_Ib01420	Dicentrarchus labrax (European seabass) (Morone labrax)	404		FQ310507	1 out of 5
E6ZGW8	FQ310507	E6ZGW8_DICLA		unreviewed	Ankyrin repeat and SAM domain-containing protein 3	ANKS3 DLA_Ib01440	Dicentrarchus labrax (European seabass) (Morone labrax)	635		FQ310507	1 out of 5
E6ZGW9	FQ310507	E6ZGW9_DICLA	GO:0032008	unreviewed	WD repeat-containing protein 24	WDR24 DLA_Ib01450	Dicentrarchus labrax (European seabass) (Morone labrax)	786		FQ310507	1 out of 5
E6ZGX0	FQ310507	E6ZGX0_DICLA	GO:0003677	unreviewed	Uncharacterized protein	DLA_Ib01460	Dicentrarchus labrax (European seabass) (Morone labrax)	235		FQ310507	1 out of 5
E6ZGX1	FQ310507	E6ZGX1_DICLA	GO:0004252; GO:0016021	unreviewed	Rhomboid-like protein (EC 3.4.21.-)	RHBDL1 DLA_Ib01470	Dicentrarchus labrax (European seabass) (Morone labrax)	328		FQ310507	2 out of 5
E6ZGX2	FQ310507	E6ZGX2_DICLA	GO:0000786; GO:0003677; GO:0005634; GO:0006334	unreviewed	Histone H1.0	H10 DLA_Ib01480	Dicentrarchus labrax (European seabass) (Morone labrax)	195		FQ310507	1 out of 5
E6ZGX3	FQ310507	E6ZGX3_DICLA	GO:0003924; GO:0005509; GO:0005525; GO:0007005; GO:0031307	unreviewed	Mitochondrial Rho GTPase (EC 3.6.5.-)	RHOT2 DLA_Ib01490	Dicentrarchus labrax (European seabass) (Morone labrax)	618		FQ310507	2 out of 5
E6ZGX4	FQ310507	E6ZGX4_DICLA		unreviewed	WD repeat-containing protein 90	WDR90 DLA_Ib01500	Dicentrarchus labrax (European seabass) (Morone labrax)	1583		FQ310507	1 out of 5
E6ZGX5	FQ310507	E6ZGX5_DICLA	GO:0003677; GO:0006313; GO:0015074	unreviewed	Transposable element Tcb1 transposase	TCB1 DLA_Ib01510	Dicentrarchus labrax (European seabass) (Morone labrax)	341		FQ310507	1 out of 5
E6ZGX6	FQ310507	E6ZGX6_DICLA		unreviewed	Myosin phosphatase Rho-interacting protein (Fragment)	MPRIP DLA_Ib01520	Dicentrarchus labrax (European seabass) (Morone labrax)	1593		FQ310507	1 out of 5
E6ZGX7	FQ310507	E6ZGX7_DICLA	GO:0003779; GO:0007010; GO:0046872	unreviewed	Actin-binding LIM protein 1	ABLIM1 DLA_Ib01530	Dicentrarchus labrax (European seabass) (Morone labrax)	619		FQ310507	1 out of 5
E6ZGX8	FQ310507	E6ZGX8_DICLA	GO:0016021; GO:0055085	unreviewed	Major facilitator superfamily domain-containing protein 1	MFSD1 DLA_Ib01540	Dicentrarchus labrax (European seabass) (Morone labrax)	454		FQ310507	1 out of 5
E6ZGX9	FQ310507	E6ZGX9_DICLA	GO:0003677; GO:0004519; GO:0005634; GO:0006281; GO:0048476	unreviewed	Crossover junction endonuclease EME1	EME1 DLA_Ib01550	Dicentrarchus labrax (European seabass) (Morone labrax)	445		FQ310507	1 out of 5
E6ZGY0	FQ310507	E6ZGY0_DICLA		unreviewed	SPRY domain-containing SOCS box protein 3	SPSB3 DLA_Ib01560	Dicentrarchus labrax (European seabass) (Morone labrax)	345		FQ310507	1 out of 5
E6ZGY1	FQ310507	E6ZGY1_DICLA	GO:0005524; GO:0005737; GO:0016226; GO:0046872; GO:0051539	unreviewed	Cytosolic Fe-S cluster assembly factor NUBP2 (Nucleotide-binding protein 2) (NBP 2)	NUBP2 DLA_Ib01570	Dicentrarchus labrax (European seabass) (Morone labrax)	314		FQ310507	2 out of 5
E6ZGY2	FQ310507	E6ZGY2_DICLA	GO:0005774; GO:0015078; GO:0015991; GO:0016021; GO:0033179	unreviewed	V-type proton ATPase proteolipid subunit	VATL DLA_Ib01580	Dicentrarchus labrax (European seabass) (Morone labrax)	153		FQ310507	2 out of 5
E6ZGY3	FQ310507	E6ZGY3_DICLA		unreviewed	TBC1 domain family member 24	TBC1D24 DLA_Ib01590	Dicentrarchus labrax (European seabass) (Morone labrax)	569		FQ310507	1 out of 5
E6ZGY4	FQ310507	E6ZGY4_DICLA	GO:0006487; GO:0030144	unreviewed	'Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B '	MGAT5B DLA_Ib01600	Dicentrarchus labrax (European seabass) (Morone labrax)	604		FQ310507	1 out of 5
E6ZGY5	FQ310507	E6ZGY5_DICLA	GO:0005576	unreviewed	Netrin-3	NTN3 DLA_Ib01610	Dicentrarchus labrax (European seabass) (Morone labrax)	573		FQ310507	1 out of 5
E6ZGY6	FQ310507	E6ZGY6_DICLA	GO:0030514; GO:0045596	unreviewed	Noggin-2	NOG2 DLA_Ib01620	Dicentrarchus labrax (European seabass) (Morone labrax)	297		FQ310507	1 out of 5
E6ZGY7	FQ310507	E6ZGY7_DICLA		unreviewed	Ankyrin repeat and fibronectin type-III domain-containing protein 1	ANKFN1 DLA_Ib01630	Dicentrarchus labrax (European seabass) (Morone labrax)	698		FQ310507	1 out of 5
E6ZGY8	FQ310507	E6ZGY8_DICLA	GO:0004198; GO:0005622; GO:0046872	unreviewed	Calpain-15	SOLH DLA_Ib01640	Dicentrarchus labrax (European seabass) (Morone labrax)	1154		FQ310507	1 out of 5
E6ZGY9	FQ310507	E6ZGY9_DICLA		unreviewed	Zinc finger MYND domain-containing protein 17	ZMYND17 DLA_Ib01650	Dicentrarchus labrax (European seabass) (Morone labrax)	432		FQ310507	1 out of 5
E6ZGZ0	FQ310507	E6ZGZ0_DICLA		unreviewed	Zinc finger MYND domain-containing protein 17	ZMYND17 DLA_Ib01660	Dicentrarchus labrax (European seabass) (Morone labrax)	357		FQ310507	1 out of 5
E6ZGZ1	FQ310507	E6ZGZ1_DICLA	GO:0016021	unreviewed	Myeloid-associated differentiation marker-like protein 2	MYADML2 DLA_Ib01670	Dicentrarchus labrax (European seabass) (Morone labrax)	298		FQ310507	1 out of 5
E6ZGZ2	FQ310507	E6ZGZ2_DICLA	GO:0006886; GO:0017119	unreviewed	Conserved oligomeric Golgi complex subunit 7	COG7 DLA_Ib01680	Dicentrarchus labrax (European seabass) (Morone labrax)	445		FQ310507	1 out of 5
E6ZGZ3	FQ310507	E6ZGZ3_DICLA	GO:0006511; GO:0016579; GO:0036459	unreviewed	Ubiquitin carboxyl-terminal hydrolase 31	USP31 DLA_Ib01690	Dicentrarchus labrax (European seabass) (Morone labrax)	689		FQ310507	1 out of 5
E6ZGZ4	FQ310507	E6ZGZ4_DICLA	GO:0016021	unreviewed	Uncharacterized protein	DLA_Ib01700	Dicentrarchus labrax (European seabass) (Morone labrax)	134		FQ310507	1 out of 5
E6ZGZ5	FQ310507	E6ZGZ5_DICLA	GO:0008146	unreviewed	Sulfotransferase (EC 2.8.2.-)	HS3ST2 DLA_Ib01710	Dicentrarchus labrax (European seabass) (Morone labrax)	373		FQ310507	1 out of 5
E6ZGZ6	FQ310507	E6ZGZ6_DICLA	GO:0016021	unreviewed	Leucine-rich repeat-containing protein 4B	LRRC4B DLA_Ib01730	Dicentrarchus labrax (European seabass) (Morone labrax)	746		FQ310507	1 out of 5
E6ZGZ7	FQ310507	E6ZGZ7_DICLA	GO:0016021; GO:0051965	unreviewed	Leucine-rich repeat-containing protein 4B	LRRC4B DLA_Ib01720	Dicentrarchus labrax (European seabass) (Morone labrax)	703		FQ310507	1 out of 5
E6ZGZ8	FQ310507	E6ZGZ8_DICLA	GO:0016021	unreviewed	Leucine-rich repeat-containing protein 4B	LRRC4B DLA_Ib01740	Dicentrarchus labrax (European seabass) (Morone labrax)	638		FQ310507	1 out of 5
E6ZGZ9	FQ310507	E6ZGZ9_DICLA	GO:0016021	unreviewed	Testicular acid phosphatase homolog	ACPT DLA_Ib01750	Dicentrarchus labrax (European seabass) (Morone labrax)	408		FQ310507	1 out of 5
E6ZH00	FQ310507	E6ZH00_DICLA		unreviewed	'Myosin-binding protein C, fast-type '	MYBPC2 DLA_Ib01760	Dicentrarchus labrax (European seabass) (Morone labrax)	1112		FQ310507	1 out of 5
E6ZH01	FQ310507	E6ZH01_DICLA		unreviewed	Uncharacterized protein	DLA_Ib01770	Dicentrarchus labrax (European seabass) (Morone labrax)	215		FQ310507	1 out of 5
E6ZH02	FQ310507	E6ZH02_DICLA		unreviewed	Uncharacterized protein	DLA_Ib01780	Dicentrarchus labrax (European seabass) (Morone labrax)	221		FQ310507	1 out of 5
E6ZH03	FQ310507	E6ZH03_DICLA		unreviewed	Pleckstrin homology domain-containing family A member 7	PLEKHA7 DLA_Ib01790	Dicentrarchus labrax (European seabass) (Morone labrax)	185		FQ310507	1 out of 5
E6ZH04	FQ310507	E6ZH04_DICLA		unreviewed	Uncharacterized protein	DLA_Ib01800	Dicentrarchus labrax (European seabass) (Morone labrax)	790		FQ310507	1 out of 5
E6ZH05	FQ310507	E6ZH05_DICLA	GO:0007269; GO:0048786	unreviewed	Liprin-alpha-3	PPFIA3 DLA_Ib01810	Dicentrarchus labrax (European seabass) (Morone labrax)	1223		FQ310507	1 out of 5
E6ZH06	FQ310507	E6ZH06_DICLA	GO:0005104; GO:0005576; GO:0008083; GO:0008543	unreviewed	Fibroblast growth factor (FGF)	FGF-19 DLA_Ib01820	Dicentrarchus labrax (European seabass) (Morone labrax)	151		FQ310507	1 out of 5
E6ZH07	FQ310507	E6ZH07_DICLA	GO:0005249; GO:0008076; GO:0034765; GO:0051260	unreviewed	Potassium voltage-gated channel subfamily A member 3	KCNA3 DLA_Ib01830	Dicentrarchus labrax (European seabass) (Morone labrax)	530		FQ310507	1 out of 5
E6ZH08	FQ310507	E6ZH08_DICLA	GO:0005249; GO:0008076; GO:0034765; GO:0051260	unreviewed	Potassium voltage-gated channel subfamily C member 1	KCNC1 DLA_Ib01840	Dicentrarchus labrax (European seabass) (Morone labrax)	650		FQ310507	1 out of 5
E6ZH09	FQ310507	E6ZH09_DICLA	GO:0003676; GO:0006364; GO:0008408	unreviewed	RNA exonuclease 4	REXO4 DLA_Ib01850	Dicentrarchus labrax (European seabass) (Morone labrax)	426		FQ310507	1 out of 5
E6ZH10	FQ310507	E6ZH10_DICLA	GO:0006506; GO:0016021; GO:0017176	unreviewed	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P	PIGP DLA_Ib01860	Dicentrarchus labrax (European seabass) (Morone labrax)	129		FQ310507	1 out of 5
E6ZH11	FQ310507	E6ZH11_DICLA		unreviewed	Putative nuclease HARBI1	HARBI1 DLA_Ib01870	Dicentrarchus labrax (European seabass) (Morone labrax)	371		FQ310507	1 out of 5
E6ZH12	FQ310507	E6ZH12_DICLA	GO:0004725	unreviewed	Receptor-type tyrosine-protein phosphatase beta	PTPRB DLA_Ib01880	Dicentrarchus labrax (European seabass) (Morone labrax)	332		FQ310507	1 out of 5
E6ZH13	FQ310507	E6ZH13_DICLA	GO:0005623; GO:0006826; GO:0006879; GO:0008199	unreviewed	Ferritin	FRI3 DLA_Ib01890	Dicentrarchus labrax (European seabass) (Morone labrax)	174		FQ310507	2 out of 5
E6ZH14	FQ310507	E6ZH14_DICLA	GO:0016021	unreviewed	Synaptotagmin-1	SYT1 DLA_Ib01900	Dicentrarchus labrax (European seabass) (Morone labrax)	423		FQ310507	1 out of 5
E6ZH15	FQ310507	E6ZH15_DICLA		unreviewed	Uncharacterized protein	DLA_Ib01910	Dicentrarchus labrax (European seabass) (Morone labrax)	446		FQ310507	1 out of 5
E6ZH16	FQ310507	E6ZH16_DICLA	GO:0005861; GO:0006937	unreviewed	'Troponin T, slow skeletal muscle '	TNNT1 DLA_Ib01920	Dicentrarchus labrax (European seabass) (Morone labrax)	192		FQ310507	1 out of 5
E6ZH17	FQ310507	E6ZH17_DICLA	GO:0030246	unreviewed	Novel protein with Lectin C-type domains	DLA_Ib01930	Dicentrarchus labrax (European seabass) (Morone labrax)	171		FQ310507	1 out of 5
E6ZH18	FQ310507	E6ZH18_DICLA	GO:0016021; GO:0016746	unreviewed	'Carnitine O-palmitoyltransferase 1, liver isoform '	CPT1A DLA_Ib01940	Dicentrarchus labrax (European seabass) (Morone labrax)	796		FQ310507	1 out of 5
E6ZH19	FQ310507	E6ZH19_DICLA	GO:0004672; GO:0005524	unreviewed	BR serine/threonine-protein kinase 1	BRSK1 DLA_Ib01950	Dicentrarchus labrax (European seabass) (Morone labrax)	841		FQ310507	1 out of 5
E6ZH20	FQ310507	E6ZH20_DICLA	GO:0016301	unreviewed	BR serine/threonine-protein kinase 1 (Fragment)	BRSK1 DLA_Ib01960	Dicentrarchus labrax (European seabass) (Morone labrax)	49		FQ310507	1 out of 5
E6ZH21	FQ310507	E6ZH21_DICLA		unreviewed	Proline-rich protein 12	PRR12 DLA_Ib01970	Dicentrarchus labrax (European seabass) (Morone labrax)	2082		FQ310507	1 out of 5
E6ZH22	FQ310507	E6ZH22_DICLA	GO:0003700; GO:0044212	unreviewed	Interferon regulatory factor 3	IRF3 DLA_Ib01980	Dicentrarchus labrax (European seabass) (Morone labrax)	465		FQ310507	1 out of 5
E6ZH23	FQ310507	E6ZH23_DICLA		unreviewed	Synembryn-A	RIC8A DLA_Ib01990	Dicentrarchus labrax (European seabass) (Morone labrax)	510		FQ310507	1 out of 5
E6ZH24	FQ310507	E6ZH24_DICLA	GO:0002724; GO:0005227; GO:0016021; GO:0042310; GO:0042391; GO:0061337	unreviewed	Transient receptor potential cation channel subfamily M member 4	TRPM4 DLA_Ib02000	Dicentrarchus labrax (European seabass) (Morone labrax)	1121		FQ310507	1 out of 5
E6ZH25	FQ310507	E6ZH25_DICLA	GO:0005509	unreviewed	Hrc protein	HRC DLA_Ib02010	Dicentrarchus labrax (European seabass) (Morone labrax)	329		FQ310507	1 out of 5
E6ZH26	FQ310507	E6ZH26_DICLA	GO:0004089; GO:0006730; GO:0008270	unreviewed	Carbonic anhydrase 4	CAH4 DLA_Ib02020	Dicentrarchus labrax (European seabass) (Morone labrax)	447		FQ310507	1 out of 5
